AkarmyAmra
Amrayadyap
AstAmgADha
adhishrIru
aravimdeSh
bhUrishopi
chirashrAm
dimDalampa
etasmimvam
garvamAkur
kUShmAmDIp
katikatimavasamteval_1
katipalavi
kumdekadam
loDitamakh
matAdRkpUr
phalitasya
rererasAla
saurabhyag
shAmtAghar
shashvamis
smigdhAgrA
tvamsAmAmy
umIladrasa
utamsakaut
utphularam
vahasibali
vetAkokila
viyuktAvAs
yAvatphalo
yadekasmim
yadyadhvam
yadyapidishidis
yebhijmAHk
yodRShTaHs
