AghrAtamparilID
AsItpUrvam
amastamita
amibhAlita
apyAkarasa
bhraShTamR
dhamyoyami
dhvamirati
jalamidhau
kAchAHkAmc
kAchaHajma
kITagRhamk
kemAsImaHs
kvavAmbhod
mamirluTha
mashvetAms
paurastyai
payodheHsa
samudremAm
shamkhaHam
simdhustar
somakAmtom
sphaTikasy
sudhAkarak
tAtaHxIram
tyajamijag
uchairucha
utamseShum
vapuHparIm
viramaratm
yamuktAmam
yasyavajra
yatrAmulik
yegRhmamti
