AdyemahImA
ApAmDupIma
ChatradhAr
aShTapAdas
amekasuShiramvA
amumetumAm
apUrvoyama
apadodUrag
ardhachamdrasam
ardhachamdravad
asthimAsti
astigrIvAs
avalokyast
chakrItris
chaturmukh
damtairhIm
ekachaxurm
gItvAkimap
gopAlomaiv
jAtAshuddh
kAchimRgAxIpriy
kRShmamukh
maramArIsa
matasyAdir
parvatAgre
parvatAgrerathA
ravijAshas
sadArimadh
sarvasvApa
sarvasvApaharom
shyAmamcha
tarumyAlim
uchChiShTamshiv
vRxAgravAs
vRxAgravAsImach
vRxasyAgre
vamejAtAva
vamevasati
yaevAdiHsa
