AbaddhakRtrimas
amishamata
amtarbalAm
bhimAmahAg
bhimatibhI
digamteshr
dimAgAHpra
ekAkimivam
ekohamasah
emaHkrIDat
gamyateyad
garjitamAk
grAmAmAmup
hariralasa
heharyaxas
helAvidali
hemAtamgam
jAtaHstamy
jIrmopikra
jaTharajva
kAkaHpaxab
kaHkaHkutr
khamamAkhu
kolaHkelim
kuramgImAm
mAbhiSheko
mAsyoChrAy
mAtamgAHki
mRgairmaSh
mRgebhyora
mRgemdramv
mayatrasth
midrAmIlit
pArImdrash
pibastamya
shUrosikRt
smerAHsamt
sthitimore
utplutyaya
utumgamata
utumgashai
varamumata
vayobhimAm
vetamDagam
xudrAHsamtisaha
xutxAmopij
yUmAyemavi
yaHshauryA
yadyapicha
yadyapiraT
yasmimjIva
yasyAvamdh
yemAmagarl
yemabhimak
