Amodaisted
ayimalayaj
bhrAtashch
dhikcheShT
ekasmimala
etairdaxim
jAtaHkelik
jamakaHsAm
kAlAguraus
kAmtAkelim
katimasamtimahI
kechilocha
lokAmamdam
mUlambhuja
pATIratava
samtyevali
saurabhyam
shrImacham
upAmItamdU
vAsaHshail
yadyapichamdama
yaistvamgu
