amyastrIsp
ayamuditoh
bhavataivA
bhojamAmte
bhramarahi
gachChamti
gairikamam
kAlokamAtA
kApAmDupat
kAshailapu
kAshambhuk
kIdRmatama
kIdRxAgiri
kaHkAmtAra
kaHkaukeka
kaHkhecharatikA
kaHkuryAdb
kaHprArthy
kamsamjagh
karotishob
kasmimshet
kasmimvasa
kastUrIjAy
kasyamarau
kebhUShaya
kimbhUSham
kimkurvamt
kimtRShmAk
komirdagdh
kutrodetyu
kvavasatil
lamkAbhUpa
pRthvIsamb
prabhavaHk
pumsaHsamb
raveHkaveH
sImamtimIS
samtashcha
shabdaHpra
tArAviShmU
vIresaruSh
vivAhepura
vrajamtipa
yudhiShThi
