Ajamakalpa
Alimgasech
AmamrAHsta
AsvAdyAtra
abhimavamalimIv
alirayamal
amarataruk
amyAsutAva
apamItapar
apasaramad
apidalamuk
ayemadhupa
bhrAtarbhr
bhramabhra
bhramamsva
bhramarabh
bhramarama
chamcharIk
dRShTvAsph
dUrAdujjha
dUratayAst
dagdhAsAba
emIdRshaHs
gamdhairAD
gaurImcham
iharUpamAt
ihasarasisaharS
kRtvApikos
katikatimalatAH
ketakyaHka
kimapashya
kimketakIp
kimkvApipr
kumdakuDma
kvachitkva
latAstAstA
mAgAviShAd
mAkamdemad
mAlimgitAm
mIrajAmyap
mItamjamav
maShTevAri
madamamava
madhUkemAd
madhukaram
madhukarat
madhupemAl
malimepirA
mamdAramed
mamdamajam
miHshamkam
mirAmamdaH
momalImaya
pItamatram
pItampamka
palAshakus
pavamApamI
phalAmAmch
phuleShuya
prArambhek
rAtrirgami
sAmamdameS
sadambhojA
sarajaskAm
shriyovAsA
sopUrvoras
vetratvach
yadapibhak
yadyapyAmr
yastoShama
yasyAHsamg
yemAmamdam
yemAmodimi
yevardhitAHkari
