aTashUlAjamapad
achyutabha
adhumAmadh
ahamchatva
ahiripupat
akuberapur
ambaramamb
ardharAtre
arjumasyai
atamujvara
atrilocham
ayisakhish
brahmamAmt
chamchadvA
devarAjoma
dvamdvodvi
ekomAvimsh
gatAsAkims
gaurIxamam
gogajavAha
gokarmarAD
hamUmatiha
haridrAyAm
imdIvarAxy
jAyamtemav
kAchidbAlAramam
kAchidvilo
kAchidviyo
kAmtAruchi
kAmtedhAva
kahamasmig
kamThekuTh
katitekaba
keshavampa
khATIchChA
kolAkRtira
kudhremasu
kumArasamb
kumdakumja
lambodarat
laxmIvamkR
lokAjamAmA
mRgatrayam
madIjalamk
mamjulagha
metaHprayA
mishchitam
momArAmama
mudgIdAlis
mudgadAlId
pAmIyampAt
prAbhrabhr
puShpeShum
rAjamkamal
rAmamsItAm
rAmamvAmar
rAmarAmeti
ravisutakR
sAyakasahA
sUdArAupal
sajayatich
samarehema
sarvajmaHs
satyAsakta
shamIgarbh
shamkaramp
shastramak
shilArpita
shirasidev
stamAmtemo
stamamamDa
suvarmAlam
suvarmasya
tAtemakath
trailokyem
tvadviraha
uditavatip
uparigatam
vAsamAvAsu
vAshchAreD
vAtAchChIt
vAyumitras
viShambhum
vihamgAvAh
vijitAtmab
vikasatima
vilAsimImk
vimAyakapa
vimAyauvam
virAjarAja
yAmividhAv
yasyaShaSh
yathAmayat
yemAkAripa
yemadhvast
yovyomADim
