AkarmyAmra
AmUlAgrami
AmodImisum
Amodairmar
Amodaisted
Amrayadyap
ApuShpapra
AstAmgADha
ChAyAbhiHp
ChAyAmamya
ChAyAsupta
ChimaHsami
adhishrIru
adhvamyadh
adhvamyadhvamib
agururitiv
ahoeShAmva
amtashChid
apitvayAka
aravimdeSh
asmAmavehi
asmimkeliv
audAryambh
ayetAlavrI
ayidaladar
ayiduShkRt
ayikimguma
ayimAlatis
ayimakaram
ayimalayaj
bhUrishopi
bhUrjaHpar
bhrAtashch
bhuktAmiya
bhuktamsvA
chamdamevi
chirashrAm
chitramchi
dAserakasy
dUremArgAm
dadhAmaHpr
daurjamyam
dhAmyAHsUx
dhatUradhU
dhatUrakam
dhatebhara
dhatsemUrd
dhikcheShT
dimDalampa
eShaShaTpa
ekasmimala
ekasmimjam
ekastvamar
ekemachetparihR
eketumbAvr
emAdyAHpas
etAsuketak
etairdaxim
etasmimvam
etehigumAH
gAtramkamT
garIyaHsau
garvAyasev
garvamAkur
gumjatimam
hamsAHpadm
hehemaketa
himasamayo
ihodyAmesa
iyambAlAva
jAtaHkelik
jamAbhUdud
jamakaHsAm
jamiHsarom
kAlAguraus
kAlakramak
kAmambhava
kAmtAkelim
kAmtosimit
kAyaHkamTa
kUShmAmDIp
kalamAHpAk
kalpadrumopikAl
kamalimima
karpUradhUlIrachitAl_1
kashchimav
kastvambho
katikatimavasamteval_1
katimasamtimahI
katipalavi
katisamtilavamg
kechilocha
kemAtracha
khadyotAst
kimAlatIku
kimadrumAj
kimbAmdhav
kimjAtosic
kimkupyasi
kimpuShpai
kimshukaki
kimtemamra
kimvIrudho
kopamchamp
kumdekadam
kurvamtumA
kusumamkos
kusumastab
lUmamatama
latAmAmetA
laxmIHsvay
laxmImivAs
laxmIsampa
loDitamakh
lokAmamdam
mAdhuryasA
mAlasyapra
mAlatIkusu
mAlatImuku
mAmAlatiml
mIrAmirmal
mIrasAmyap
mRdUmAmsvA
mUlAdevaya
mUlambhuja
mUlamsthUl
machagamdh
madIyastvA
madhupaiva
madvAridvi
mahAtarurv
maheshastv
makulevApi
malimimipu
mamayArach
matAdRkpUr
mayijIvati
miShpeShos
mimbakimba
misargAdAr
mukhemagar
mukheyadva
myagrodhep
pATIratava
pATalayAva
pAmthAdhAr
pArijAtata
pAsyamtika
padmimikim
pamkajajal
parArtheya
paramtadih
parimalasu
paropasarp
pashyAmurU
patrAmikam
patraphala
patrapuShp
paulomIpat
phalamdUra
phalitasya
prasAritak
pratyagrai
rUDhasyasi
rUpasaurab
repadmimId
repadmimIp
rererasAla
rolambairm
rolambasya
ruchiratir
sAdhAramat
sambhUtist
samdarshay
samtyekepi
samtyevali
samupAgata
samutpatiH
sarvAstumb
saurabhyag
saurabhyam
saurabhyemasamA
shAkhAHkam
shAkhAsamt
shAkhAshat
shAkhoTash
shAmtAghar
shashvamis
shlAghyamk
shrImacham
smigdhAgrA
svAmodavAs
svachChamdamdal
svarmaiHsk
tAlItarora
tIvromidAg
tIvroyamit
tatejastar
tvamsAmAmy
tyajakimsh
uchaireSha
uchitamAma
uditavatid
udyAmapAla
umIladrasa
umIlayamti
upAmItamdU
upamadipul
utamsakaut
utphularam
utumgaista
vAsaHshail
vRddhiryas
vadaprAdur
vahasibali
vaimukhyam
valImAmkat
varamashrI
vardhitaiH
vetAkokila
vibhramyak
vimAkhadir
vipampadmi
vishAlamsh
vistIrmodI
viyuktAvAs
vyAgumjama
yAvatphalo
yAvatvAmak
yUthIyatho
yadekasmim
yadyadhvam
yadyapichamdama
yadyapidishidis
yadyapikha
yadyapimab
yaistvamgu
yamAdRtast
yashchamim
yasmAdarth
yebhijmAHk
yepUrvampa
yodRShTaHs
