ApAtAlagab
ArAmoyamam
UrmAmaiSha
amtarvasat
bamdhamast
bhobhoHkar
dAmArthimo
dAmamdadat
gajasyapam
galepAshas
gamDasthalehima
ghAsagrAsa
girigahvar
grAsAdgali
jahIhiguru
kalabhatav
karmechAma
kaupamvAri
kaupepayas
kelimkuruS
krIDAkArit
lAmgUlachA
lIlAmukuli
mAbhUvambh
mIvArapras
magRhmAtig
makuryAHpr
malotsarga
masvAmkare
miShevamtA
momamyedRD
pAdAghAtav
pItamyatra
patyuryatp
ravitaptog
rechAmchal
sAmdrAmoda
sUtesUkara
spardhamtA
tApomApaga
tyaktovimd
yUthAmyagr
yadimatosi
yatpratyag
