ApumkhAgra
abhilaShas
adyApimUma
amumamAram
apividhiHk
bAmAHpamch
bAmAgmimas
bAmAmsamha
bhavametra
bhomeghaga
bhorohimit
bhrAtardvi
bhramayaja
bhuvamamoh
chalApAmgA
chamDIshac
chulukayas
dhamyastva
hRdayamAsh
hRdibisala
hamsapraya
jaTAmeyamv
kimrevidho
kvarujAhRd
mRdupavama
malayamaru
mugdhasyat
pAmaumAkur
pamchatvam
parichyuta
priyavirah
raktAshoka
raktastvam
reremirday
resAramgAv
sUchImukhe
sUtirdugdh
sahatayAsm
samtApayac
smaramRsha
smehamsvIk
svayamaprA
tArApateku
tadvichChe
tavakusuma
tvamuchita
umIlamayam
umIlamukul
vRthaivasa
vadamamida
vidhiramam
vyAdhUyaya
