AgachChatAmapUr
ApUryetapu
Apediremba
ayamavasar
etasmimaru
hamsairlab
iyatyAmsam
kasyatRSha
kraumchaHk
mAdyadigaj
movAkiyamt
repadmAkar
sauvarmaHk
sopAmAmiti
stokAmbhaH
tAmitAmika
uDImamviha
udAmAmbudavardh
vihagairga
yAtemayach
