adhigamama
ajasramlas
dUramyAmtu
devoharirv
dikshrItam
etAvatsarasijak
gatetasmim
karasphoTo
khadyotody
mimIlamAya
pAtaHpUShm
pUrvAhmepr
patatumabh
raverevoda
tasyaivAbh
udyamtvamU
yatpAdAHsh
yemomathya
