Achaxmahet
ekasyAyamu
kimtemahem
mAdhamyAmA
murArAtirl
ratmAmAmki
rohamAchal
shakrAdara
tarukulasu
varampaxac
vidyotamte
vimdhyamam
xomIyasyah
yAmasteshi
yesamtoSha
