amAyAmAmAh
bhAsatepra
mAgavisheS
mArArishak
mAramAsuSh
mAtAmatAmA
mamAmimAma
pAyAdvaHka
rasAsArara
samsArasAk
saralAbaha
sarasvatip
tAratArata
tamutAtamu
vimAyamemo
vishvasyah
yAmAtAmama
yadAmatoya
