AsAdyAmrav
ahamyuvara
ambhojapra
asyAmsakhe
athakokila
bhadrambha
bhrAtaHkok
dAtyUhAHsa
ekastvamga
hekokilAkh
kAkaHkRShm
kalakamThayathA
kimkomalai
kokilakala
kokilohamb
kvachijjhi
mUkIbhUyat
malimAtmam
parabhRtas
rasAlashik
rebAlakoki
rerekokilA
sahakArech
samudgiras
shRgAlasha
tAvachakor
tAvamaumem
tAvatkokil
tatkimsmar
tavaitadvA
utkUjamtuv
yemAmamdamayeva
yemoShitam
