ApumkhAgra
adyApimUma
amumamAram
apividhiHk
bAmAHpamch
bAmAgmimas
bAmAmsamha
bhavametra
bhuvamamoh
hRdayamAsh
hRdibisala
jaTAmeyamv
kvarujAhRd
pAmaumAkur
pamchatvam
reremirday
sahatayAsm
smaramRsha
svayamaprA
tadvichChe
tavakusuma
tvamuchita
vRthaivasa
vidhiramam
