ApovimuktA
ArAmAbhara
ArAmAdhipa
AsaktAHpra
AsamyAvamt
AshrayaHki
AshvAsyapa
UShareShuv
akUpArAdvA
amumkAlaxe
amyopicham
ayehelAvel
ayijaladay
bhUyogarji
bhekaiHkoT
chAtakaHsv
chAtakasya
dImAmAmiha
davadahama
dhIradhvam
ekasyatasy
etadatrapa
eteShuhAta
garjambuda
garjasimeg
garjitabad
grIShmebhI
harShamvar
hepAthohay
jaladaHsam
jaladharaj
kAlAtikram
kAsAreShus
kUpAmbhAms
kUpepAmama
kartavyohR
kevAmasamt
kisalayAmi
mAmdhauska
mArgobhUri
mIhArAkara
mIramdUram
mabhasimir
madebhyopi
maitAHsvay
maivAlavAl
miHpadmams
mochimtAma
mopexAmach
mumchamumc
pAmIyamAmI
papAtapAth
payodahevA
prAvRShemy
prAvRShish
prathitosi
redhArAdha
samAgamiSh
sampAditAH
sampratima
samtApamja
samtikUpAH
sarvamvama
saxArojala
shRmvampur
shaileyeSh
shoShamgat
tApamlumpa
tRptyAmady
tavaivaprA
tetechAtak
tvamevachA
tvayivarSh
vAtairvidh
vilapatita
vitaravAri
vyAjastuti
xamadRShTa
yAvatiShTh
yadambukam
yadyapisam
yasyodayeg
yatAdRsheS
yatpalavaH
