AkAraHkama
ambhojimIv
amyAsAsara
apasaramam
astiyadyap
bakakoyaSh
bhRmgAmgam
bhohamsAst
bhuktAmRmA
eShApuShka
ekemarAjah
gAmgamambu
gatamtadgA
hAhamtamAm
hamsIvetip
hamsaHpray
hamsaHshve
kAkekArShm
kamchideva
kamsAricha
kastvamloh
kruddholUk
mIraxIravi
madyomIcha
medamsaraH
pItamyemap
pramlAmAma
purAsarasi
rerAjahams
saivasaiva
sthitvAxam
tarautIrod
vAtAmdolit
yaHsamtApa
yadimAmada
yatrApikut
yevardhitA
yodivyAmbu
