AhvAmamkim
aTavIkIdRs
agastyemap
amukUlavid
balobalabh
bhAgIrathI
bhavatigam
bhavatijay
bibhartiva
budhaHkIdR
chAdayaiti
dadhauhari
daityArAti
dhateviyog
durvAravIr
evamebhayA
gatakleshA
ghamasamay
harirvahat
himAmIstha
himAmshuka
kAchakreha
kAkAmtAkAl
kAkRtAviSh
kAledeshey
kAmarirahi
kAmeghAdup
kAmimyAHst
kAmujahAra
kAmukAHsyu
kApriyemar
kAsambuddh
kAshamsham
kIdRgRhamy
kIdRgvamam
kIdRkimsyA
kIdRkprAta
kIdRksemAb
kIdRktoyam
kIdRshImir
kIdRshamhR
kIdRshamva
kIdRxaHsak
kIdRxamsam
kaHkarmAri
kaHpUjyaHsujama
kaHsyAdamb
kalyAmavAk
kamsArAter
kasmaiyach
kasmimsvap
kaushamkar
kauvikhyAt
kavayovada
kedArekIdR
kepravImAH
kesaradrum
kesthirAHk
kimakarava
kimamamtat
kimastiyam
kimavyayat
kimichChat
kimsyAdvis
kimtrAmamj
kimumchamt
koduHkhIsa
kodurADhya
komAdyatim
komayatija
komohAyadu
kusumampat
lAvamyamkv
laxmIdha.R
laxmametyu
mIcheShuyA
mabhavatim
mashlAghat
meghAtyaye
meghAtyayebhava
meghAtyayebhavatikAs_1
mirjitasak
mumDaHpRch
pRchChatip
pRchChatis
pUjAyAmkim
padamamamt
pariharati
pavitramat
paxishreSh
prAptevasa
prAyaHkAry
prAyemamIc
puruShaHkI
rAjmaHsamb
sAmujaHkAm
sUryasyakA
samarashir
samayamiha
samgrAmesp
samudyatek
satatamshl
sukaparivi
tapasvimot
uraHsthala
urasimurab
vAramemdro
vadatAmuta
vadatirAma
vadavalabh
varShAsukA
vasamtamAs
vasamtamAsAdyav
vasatikutr
viShmoHkAv
vihagapati
vishvambha
xomIkamsah
yajamAmema
yatmAdamvi
