AHkaShTamv
agrevyAdha
alpAyAsaba
ayikuramgi
ayikuramgituram
bhuktvAbha
drutataram
emIgameShu
ihakimkura
kastUrikAmharim
katikatimamadod
mAtravyAdh
pAshaxumak
purorevApA
romamthamA
sAramgomal
saurabhyem
seyamsthal
sthalImAmd
svachChamdamhar
tRmamukham
tyaktamjam
viddhAmRgI
vyomArdhej
yadvaktram
