asyAmamasy
chimtAmumc
dAserakora
duHprapama
karabhaday
karabhadayiteyo
kumudashab
pIlUmAmpha
rUxamvapur
tubhyamdAs
vapurviSha
yasmimucha
yasyAHsamb
yasyAsImav
