Ajamakalpa
AkAraHkama
AlApamkala
Alimgasech
AmamrAHsta
AmaramAdap
AsAdyAmrav
AsvAdyAtra
AtmAmamamb
UrdhvIkRta
abhimavamalimIv
adRShTavyA
ahamasmimI
ahamyuvara
ahirahirit
ahomohovar
akhileShuv
alirayamal
amRtavacha
amarataruk
ambhojapra
ambhojimIv
amuShmimAr
amuShmimudyAmev
amyAsAsara
amyAsutAva
amyepisamtibata
amyetejala
amyeteviha
apAraHpAth
apamItapar
apasaramad
apasaramam
apidalamuk
asmAmvichitrava
astamgatoy
astiyadyap
asyAmsakhe
athakokila
atrasthaHs
avashyakAr
ayekIrashremIpa
ayemIlagrI
ayemadhupa
ayevApIham
bIjairamku
bakakoyaSh
bakoTabrUm
bamdhamlab
bhRmgAmgam
bhadrambha
bhohamsAst
bhrAjiShma
bhrAtaHkIr
bhrAtaHkok
bhrAtarbhr
bhramabhra
bhramamsva
bhramarabh
bhramarama
bhuktAmRmA
chAtakadhU
chamcharIk
dAtyUhAHsa
dImomatach
dRShTvAshA
dRShTvAsph
dUrAdujjha
dUratayAst
dagdhAsAba
dhigvArida
drAxAmprad
dvijakulap
eShApuShka
eShabakaHs
ekaevakhag
ekastvamga
ekemarAjah
emIdRshaHs
etasmimala
gAmgamambu
gAtramtema
gamdhairAD
gatamtadgA
gaurImcham
ghamasamta
hAhamtamAm
hArItAHsar
hamsIvetip
hamsaHpray
hamsaHshve
hekIrakair
hekokilAkh
idamapaTuk
iharUpamAt
ihasarasisaharS
imduHprayA
iyampalIbh
jAtistasya
jarjaratRm
kAkAHkimki
kAkaHkRShm
kAkasyagAt
kAkatvamph
kAkekArShm
kIramIrasa
kRShmamvap
kRtvApikos
kalakamThayathA
kamchideva
kamsAricha
karmArumtudamam
kastvamloh
kasyataror
katikatimalatAH
kekAkarmAm
ketakyaHka
kimapashya
kimdUremap
kimkekIvas
kimketakIp
kimkomalai
kimkvApipr
kimshukesh
kokilakala
kokilohamb
kruddholUk
kumdakuDma
kvApigataH
kvachijjhi
kvachitkva
latAstAstA
mAgAviShAd
mAkamdemad
mAlimgitAm
mAmikyadra
mIrajAmyap
mIraxIravi
mItamjamav
mUkIbhUyat
maShTevAri
mabhrUmAms
madamamava
madhUkemAd
madhukaram
madhukarat
madhupemAl
madyomIcha
mairmalyam
makokilAmA
malimAtmam
malimepirA
mamdAramed
mamdamajam
medamsaraH
miHshamkam
mirAmamdaH
mochArUcha
momalImaya
pItamatram
pItampamka
pItamyemap
palAshakus
parabhRtas
pathimipat
pavamApamI
phalAmAmch
phuleShuya
pipAsAxAma
prArambhek
pramlAmAma
pratyamgam
purAsarasi
rAtrirgami
rUxasyAmad
raktAbjapu
rasAlashik
rebAlakoki
rerAjahams
rerechAtak
rerekokilA
rereshiShT
sAmamdameS
sadambhojA
sahakArech
saivasaiva
samamtAdAk
samudgiras
sarajaskAm
satsAmgaty
shRgAlasha
shakyateye
shriyovAsA
shukatavap
sopUrvoras
sthitvAxam
subhAShitasyAdh
svasvavyAp
tAvachakor
tAvamaumem
tAvatkokil
tarautIrod
tatkAkatva
tatkimsmar
tavaitadvA
troTIpuram
tulyavarma
tyajachakr
utkUjamtuv
vApIsvalpa
vAsaHkAmch
vAtAmdolit
vRthAgatam
vayamkAkAv
vegajvalad
vetratvach
vidhirevav
vishvopajI
yAteyAtama
yaHkRShmam
yaHsamtApa
yadapibhak
yadimAmada
yadyapichA
yadyapitar
yadyapyAmr
yastoShama
yasyAHsamg
yasyAkarmy
yatmAdapik
yatrApikut
yemAmamdam
yemAmamdamayeva
yemAmodimi
yemoShitam
yevardhitA
yevardhitAHkari
yodivyAmbu
