amtashChid
apitvayAka
ayidaladar
ayimakaram
ekasmimjam
etehigumAH
jamiHsarom
kAmambhava
kamalimima
khadyotAst
kimbAmdhav
kimkupyasi
kusumamkos
laxmIHsvay
laxmImivAs
laxmIsampa
mAlasyapra
mAlatImuku
mIrAmirmal
madhupaiva
makulevApi
malimimipu
padmimikim
pamkajajal
paulomIpat
prasAritak
repadmimId
repadmimIp
ruchiratir
sambhUtist
samutpatiH
svAmodavAs
svachChamdamdal
uditavatid
vaimukhyam
varamashrI
vibhramyak
yAvatvAmak
