AghrAtamparilID
amastamita
amibhAlita
apyAkarasa
bhraShTamR
dhamyoyami
kAchAHkAmc
mamirluTha
payodheHsa
samudremAm
simdhustar
utamseShum
vapuHparIm
viramaratm
yamuktAmam
yatrAmulik
yegRhmamti
