AdAyavArip
AstAmtAvadahosa
adhaHkaroS
ayamratmAk
ayamvArAme
ayevArAmrAsheku
ayiroShamu
chapalatar
devairyady
dyAmArohat
etasmAdamR
grAvAmomam
hamhovArim
hehelAjita
itaHsvapit
kalolaiHst
kalolaveli
kimadhikam
kimkhalura
kimvAchyom
laghurayam
lajAmaheva
laxmyAshrI
mAkuruguru
mAvajmAmAp
miHpItapIm
pItvAgarja
pIyUShemak
pIyUShemas
ratmairApU
samkhyeyAm
svastyastu
tRShAmdhar
toyAmAmadh
tvamadyasi
vAtolAsita
yadvIchIbh
yadyapibad
yadyapisva
