AgataHpAmD
amlAmapamk
bimbAkAram
dAmodarAya
kAmtamvimA
kAmtayAkAm
lalATatila
mArasimhAk
mirudyamAm
pAmArAgAbh
pampAsaras
prAtaHprAt
pumskokila
rAghavasya
rAjamavagh
samdhyAvam
virATamaga
