Alokavamta
AstevidhuH
ahomaxatra
bhItovADav
chamdramsa
daivAdyady
dhmAtAbhAl
ekaivasAmR
haramukuTe
himakarapa
imdumimdatumAma
imduryadyu
jamaxIrama
jamaxIrami
kalAstAstA
kiratiprak
laxmIkelig
mAmamdikai
mArasyamit
maxatrAmib
mayamamasi
miShpIDito
midheHkalA
mijakarami
mishAcharo
pAdamyAsam
pIyUShamva
pUrmaHpamk
prakurvatA
proShitava
ramjitAmak
ratmAkaroj
shamkarash
shrImAhesh
shreyAmvid
smerAdisha
tArAgamAsh
tvambhoHsh
uchaiHsthA
vakrostubA
viramatimi
vyajyamAma
xImaHxImaH
yAmaheshas
yAteyamraj
yadyapishi
yajAtosipa
yasyodayem
yemAsyabhy
