AHkaShTamv
AbaddhakRtrimas
Akarmyagarjitar
ApAtAlagab
ArAmoyamam
UrmAmaiSha
agrevyAdha
alpAyAsaba
amasisIdat
amekephami
amishamata
amtarbalAm
amtarvasat
asyAmamasy
ayikuramgi
ayikuramgituram
bamdhamast
bhimAmahAg
bhimatibhI
bhobhoHkar
bhuktvAbha
chimtAmumc
dAmArthimo
dAmamdadat
dAserakora
damtAHsapt
digamteshr
dimAgAHpra
divyamchUt
drutataram
duHprapama
ekAkimivam
ekohamasah
emIgameShu
emaHkrIDat
etAmibAlad
gajasyapam
galepAshas
gamDasthalehima
gamgAdImAm
gamyateyad
garjitamAk
ghAsagrAsa
girigahvar
grAmAmAmup
grAsAdgali
gumAmAmeva
gururmAyam
hAramvaxas
hariralasa
heharyaxas
helAvidali
hemAtamgam
ihakimkura
jAlmoguruH
jAtaHstamy
jIrmopikra
jaTharajva
jahIhiguru
kAkaHpaxab
kaHkaHkutr
kalabhatav
kapirapich
karabhaday
karabhadayiteyo
karmechAma
kastUrikAmharim
katikatimamadod
kaupamvAri
kaupepayas
keShAmchiddhava
kelimkuruS
khamamAkhu
kolaHkelim
krIDAkArit
kumudashab
kuramgImAm
lAmgUlachA
lIlAmukuli
mAbhUvambh
mAbhiSheko
mArgekarda
mAsyabhAra
mAsyoChrAy
mAtamgAHki
mAtravyAdh
mIvArapras
mRgairmaSh
mRgebhyora
mRgemdramv
madhvAmamk
magRhmAtig
makuryAHpr
malotsarga
masvAmkare
maulausama
mayatrasth
miShevamtA
miShkamdAm
midrAmIlit
momamyedRD
pAdAghAtav
pArImdrash
pAshaxumak
pIlUmAmpha
pItamyatra
patyuryatp
pibapayaHp
pibastamya
purorevApA
rUxamvapur
ravitaptog
rechAmchal
rererAsabh
romamthamA
sAmdrAmoda
sAramgomal
sUtesUkara
samrambhaH
sarvalokap
saurabhyem
seyamsthal
shUrosikRt
smerAHsamt
spardhamtA
sthalImAmd
sthitimore
svachChamdamhar
tApomApaga
tAvadgarja
tRmamukham
tubhyamdAs
tyaktamjam
tyaktovimd
udasyochai
utplutyaya
utumgamata
utumgashai
vRxAmdolam
vapurviSha
varamumata
vayobhimAm
vetamDagam
viShabhAra
viddhAmRgI
vyomArdhej
xudrAHsamtisaha
xutxAmopij
yUmAyemavi
yUthAmyagr
yaHshauryA
yadimatosi
yadvaktram
yadyapicha
yadyapiraT
yasmaidadA
yasmimjIva
yasmimucha
yasyAHsamb
yasyAdauvr
yasyAsImav
yasyAvamdh
yatpratyag
yemAmagarl
yemabhimak
yuktosibhu
