akhileShuv
amRtavacha
amuShmimAr
amuShmimudyAmev
apAraHpAth
ayekIrashremIpa
bhrAtaHkIr
dRShTvAshA
drAxAmprad
dvijakulap
hekIrakair
idamapaTuk
iyampalIbh
kAkAHkimki
kIramIrasa
kimshukesh
mAmikyadra
satsAmgaty
shukatavap
subhAShitasyAdh
svasvavyAp
vAsaHkAmch
yAteyAtama
