AchAryAmar
AghrAyashr
AkRShTapra
Alasyamyad
Alokyapriy
AmAbheHsar
Amamdamdad
AmamrAHsta
Amatabhram
ArUDhaHpat
AsImAtaTab
AsImemamas
Askamdamka
AsmAkIyuva
AyAmtyAmij
AyAsAdalag
AyAtamsakh
amyUmamgum
atrAsmimsu
dImAmAmiha
dRShTovAsu
damtAmAmad
ekasyAstap
ekatraspha
ekopitraya
etAvatsara
etAvatsarasijak
etasmimada
etasmimadh
etasmimsut
hemamtehim
hemamtepat
iShTovAbah
jambIrashr
kAmtAmAmkR
kAmtAmAmku
kAmtAregha
kIdRxAgiri
kIdRxaHsak
kIdRxamsam
kartavyaHp
kasyAshchi
kasyAshchimukha
kimtAvatsa
mArIbhirgu
mArabdhamk
mAvartomac
mIlAbjadyu
miHshamkam
mirdhautes
mobhAvAmiy
paryachChe
prabhraShT
samgrAmesp
samtashche
samxobhamp
satsamgAtb
saugamdhya
smAmtImAmb
svachChamdamdal
toyAmAmadh
uchityampr
uchityapra
udvIxyapri
udvoDhumka
umajamakar
umidrapriy
utphulasth
utumgastamabhar
yAmkAmtimv
yAvatvAmak
yogyasyatr
