AdhoramAmA
AgarbhamAb
AlIShukelI
AsAditavyo
ahoahImAma
ahotimirmo
alamkRtaHk
amajadAkam
amamtatatv
amekaparyA
apathyabho
asaumahemd
atItalAbha
avamtimAth
ayampuraHp
bhagIrathA
bhavamtyak
dRshaukima
hariShyamA
itomakimch
kadarthita
karAravimd
karotimIDa
mRgatrayam
malemabhAy
mamomamaHk
matabhruvo
mavetiyoya
mirIxyavem
paribhrama
priyAmukhI
raveHkaveH
sadArimadh
sahodarAHk
samamvilAs
samarpitAH
stamamdhay
sthitomakh
subhAShitasyAdh
upasthitaH
vamImumImA
vamecharAm
vasamtyara
vimApitAte
