aTavAvikaT
abalAsuvil
abalesalil
achalAkamalAhik
adharAmRtamAdhu
adharemadh
adharemasa
adharemava
adhidehali
adhipamcha
adhumAdadh
adidehalih
ahamevagur
akRshamkuc
akaroHkimu
alasArumal
alasamvapu
amRtadrava
amRtomathi
amarImukha
amarairamR
amirIxamam
amitadyuti
amubhAvava
amubhUtach
amushIlita
apahAyasha
aparIxital
apayAtisar
apishArada
asamagravi
atamujvara
atasIkusumopame
athadIrgha
athamamath
athapamkti
avadhaudiv
avivekavRt
ayamamkura
ayamekapad
ayiduShkRt
ayiroShamu
badarAmala
bhramarabh
dashakaira
dayitAmibi
garaladrum
gumabhedav
gumavAmapi
hRdayekuru
ihayAdavav
itaretaray
itidevabha
itidevasad
itirAjyaka
iyatAvayas
kRtimAmakR
kaluShamch
kamakAchal
kamakAchalajitv
kamakakram
kamalambha
karajAlama
karakAkRta
karakampit
karashIkar
karavAlaka
kathayAmim
katichidiv
katipalavi
kavayaHkav
kiratiprak
malayasyag
mamayArach
mamihArala
mashikhamD
mavakumkumachar
mayamAmcha
mayamemami
mibhRtamib
mikhileShu
paripIDyak
pashupAlav
prathitosi
puruhUtadi
rabhasAdab
ravimAvasa
sahasAhRda
sharamamka
skhaladams
sphuradadb
stamachamd
suhRdastar
tapamastap
uchitaHpra
uditepitav
upakArimivItama
uragIshish
vadamevimi
vidhirevav
yavamImaya
