aTatkaTaka
abAlaruchi
achimtyama
ahamyuvara
ahobatasar
ahoraghush
akAmDadhRt
alamtridiv
alaxitagat
amAdRtacha
amAratapar
amItaTasam
amamdamami
amamgarasa
amamkurita
amekabhava
amekagatic
amekamalas
amematamum
amudrakumu
amuxamamam
apAkurukap
apAmgatara
apApaghama
apArapulim
apAyakalit
apAyimumim
apuShyatag
aramyarudi
areyamabha
arodimadhu
asaudhvami
asausamara
ashAmtahut
asharmadah
atamdritac
athAyatama
ayamRdumRm
ayamkamaka
ayamkhalum
ayamsabhuv
ayamukhasa
ayashchama
ayejaladhi
ayemRpatim
ayemadhupa
ayestamaya
ayeyadisam
bhavaturag
bhramachar
bibhartiva
chaTachaTi
dRshAsapad
dRshAvidad
dRshaHpRth
dRshautava
dadhatyadh
dhamamyadi
dharAdhara
gameshvara
gatAgataku
gatesuhRdi
haramtihRd
harirvahat
idamabhasi
idamparama
idampratha
idamsvajam
imAyadibha
imamtilasu
imemamadha
itaHsvapit
itiprakupi
itovipimap
iyambhujag
iyamsurata
jahAtisaha
jahIhiguru
jayamtijit
jhamajjham
kRtamvapuS
kaTaumakal
kaThoramak
kachagraha
kachagrahasamul
kalAmidhir
kalimdagir
karaushara
karomyaham
kimatramad
kimevamavi
kuchautupa
kvayAsikha
labhedyada
labhetasik
madamturam
majalpadas
makhaxatam
mamItamupa
mamugdhada
marairviph
matiryagav
mayUkhamak
muhurvyaja
mukhamvika
mukhamyadi
paramtadih
pavitramat
pibamtumad
pipAsuriva
pipipriyas
pradIpakim
prasAramap
prasUmakal
prasahyama
pratixamas
prayachCha
purAritamu
purAsarasi
purAtamapa
purodigamu
sahasrakar
samAmakula
samarpyahR
samumatagh
sasatvaram
shashIdiva
sitamvasam
sphuTamsph
sthiratvam
stuvadbhav
svachitapa
tadamgamap
tamogamavi
taramgayad
tvadIyamuk
tvayiprach
udetighama
upaitigham
urastavapa
urobhuvima
vadamtukat
vahadbahal
vameShuvam
vapurdalam
vihAyasivi
vikIrmahar
vilAsamasR
vilAsibhir
vimumchati
vimumchatibudho
vrajatyapa
xamamsaral
yadIyadhav
yadiprabhu
yamaHprati
yashaHkara
yashodhama
