Adimadhyam
AditAmajam
AgataHpati
AhamAthava
AkumAramup
Amamasyama
ArtamAdama
AsasAdamum
Ashvapehim
AstabhAvam
AtamAtamad
AtmamImamu
Atmamaivag
Atmavitsah
Avishadbhi
AvivAhasam
IdRshamiga
Ixitopadis
UShareShuv
USharesari
abhyaghAmi
abravIchab
adyasaprav
adyasumdar
aimdavIvah
ambaramsti
ambudaHkRt
amdhakArag
amgamamtad
amgulIbhir
amgulIkisa
amjalaujal
amtakAyada
amtarAyati
amyadasmib
amyadoSham
amyaityamu
amyatomaya
arbhakArti
arbhakeShT
ardhamIlit
arghyamarg
arjumIyati
astamIyuSh
astikopiti
atrachaitr
atramamath
atumambata
axadevamap
bAlikArach
baddhakosh
bhAmubimba
bhUrishopi
bhagmakumb
bodhitopib
chArumUpur
chAtakastr
chAtakasya
chamchalam
chamcharIk
chamdamevi
chamdrabim
chamdrakAm
chamdrapAd
chumbameSh
dUralagmap
daShTatAma
darpameShu
doShajAtam
dumdubhish
dumdubhist
eShaShaTpa
eShachArum
eShadurmiy
eShatUDama
eShavRxash
ehiheramam
ehitatrach
ekamasyapa
ekataHpram
ekatashchasuras
ekatobhyud
ekatopibhu
ekayApikal
ekikevamij
etadatrapa
etaduChvas
evamAlimig
evamAptava
evamAshram
evamevamah
gADhakAmta
gAmgamambu
gamdhavAha
gamyateyad
gauramugdh
hArahIraka
hamtakAmta
imdragopak
imdramIlas
imdurimdur
imgitemami
kAlidAsakavitAm
kAmasamgar
kAmimImpra
kAmimIsaha
kApriyemar
kIdRshImir
kIdRshamhR
kIdRshamva
kIramIrasa
kUjitAmika
kaHparetam
kalpavRxas
kamThakoma
kamThasakt
kamchideva
kamdalIShu
kamdharAms
kamvisheSh
karmakalpi
kaumudIvat
kesaradrum
khaDgavAri
kimapashya
kimgatemay
kimkramiSh
kotrabhUmi
kumchitAdh
kumdakuDma
lochamehar
lokaeShaga
mIrajAmyap
mamdamagmi
midritasya
mirdhamami
mordhvamIx
mumchamumc
pAtuvaHkap
pItamatram
pUrvabhAga
pamchasAya
pashyapakv
pashyapash
prasphurat
prauDhamau
raktabhAva
ramjitAmak
ruddhamirg
sAdhuchamd
sAmdhyamas
sAvalepamu
samcharamt
samchitamk
samigRhyac
sarvalokap
satyamevag
shabdashAs
shaishavAt
shamkarArd
shuddhamAv
simhamakra
smigdhamAl
sthAmamAhm
tAmamamgaj
tAmitAmika
tAvadevakR
tAvadevavi
tAvakAHkat
tatklamast
umatAvamat
umatampada
umatamsada
umateShush
umatopivis
utaramgaya
utthitAgra
utthitomis
vAyumitras
varmayAmiv
vidyayAvim
vimdhyamam
vyomapAtra
yAmaheshas
yaHparasya
yaHsasarja
yasyavaktr
yatrayatra
yemabhimak
