AchAryamAm
Achumbyabi
AdityachamdrAva
Alimgasech
AlimgyapUr
AlochyavAk
AmamdamiHs
AripsumAma
ArogyamAmR
ArogyamAmRmyama
Arohamamgo
Asaptatery
Avirbhavam
AyAmtamAlo
RmIkRtAkim
adarshamed
ahoahImAma
ahobhuvaHs
ajAgalasth
ajAtaromAm
ajasramAro
alAbubIjam
amIshirISh
amamgaramgaprat
amamtapAra
amamtashAs
amaxarajme
amemakasyA
amemaparyA
amiHsaramt
amoramIyAmahato
amoramIyAmahatomahIy_1
amumpuraHp
apUjitaivA
apiprasame
asUtasadya
asajamAshc
asaugireHs
atADayatpa
atItyabamd
athAmgarAj
athetaresa
avaimihams
dhamAmibhU
dhamairvim
divArajamy
giraukalAp
giraumayUr
himavyapAy
ihAvishady
itaHparAma
itastatash
itastatovAmtivi
kaTusvaras
kadApivesh
kapATamudd
karemadAma
karotishob
kavIshvarAmAmva
kavitvagAm
kavitvamAr
kimiShTama
maTopidady
mapamDitAH
masAsabhAy
payodakesh
prasAdamAd
prasUmabAm
samarpitAy
saroShadaS
stamAtaTec
subhAShitajmema
svataHprak
tamotuteya
tvachaHsam
tvamadyasi
udIryamAme
urojavacha
vivAhakAle
xatAtkilat
