adambhAhir
ajasramlas
akamThasya
amArAdhyak
biDaujAHpu
dhamairmiS
dhamamvAya
iyamsustam
kvachichAr
lasamaukti
machAkArik
machArAdhi
madaivamap
mahImamDal
mavaitADam
mitambovis
ramatkamka
samastAvam
shiroveShT
tadAkhamDa
vimAgorasa
vivAhepura
