AhArArtham
AjmAkIrtiH
AkramyAjer
AkramyaikA
AmUlAmtAts
ApaskArAlU
AtAmrAbhAr
Atamvadbhi
AvirbhUtaj
ambhastatv
amtargADha
amyomyeShA
ashvAmAgAH
asyAbhyAsA
bAmAxiptAr
bhRmgashre
bhagmairda
bhimoraska
bhitvAghom
bhrUchAtur
chitAyatam
dAtAdAmasy
dUrotxipta
drAghIyAms
ekamitrambhUpat
ekodevaHke
ekodevaHkeshavo
ekodevakes
ekometAxat
evamcherSh
gAyamtImAm
gamDodeshA
gatvAmUmam
ghamTAmAdo
glAmichChe
hastemAgre
kAShThAdag
kAkeshauch
kAlodaivam
kAmAveshaH
kAmaHkrodholobh
kAmamdugdh
kAyamatvAm
kIdRkprAta
kIdRktoyam
kIrmArejes
kaHkamshak
kashchichC
kashchimUr
kravyAtpUg
kurvamjyot
lUmagrIvAt
mArgemArge
mAtamgAmAm
mItebhedam
mairamtary
mimeShvogh
mishrIbhUt
oShAmAsema
ojobhAjAmy
padmAkArai
patiHpatimvAham
pratyAsame
pratyAvRta
pumjIbhUta
rAmamsItAm
rAmematriH
rathyAghoS
rejepuShpa
rejurbhraS
roShAveshA
roShAveshAdAbhi
rodoramdhr
sAmdrAmbho
sadvamshat
samdAmAmtA
samjagmAte
shIlAvijAm
shuddhAHsa
shuklepaxe
svargevAsa
temImAmsAs
tyaktaprAm
udyamAdamd
utkrAmtAmA
utplutyArA
vImAvamsha
vIryotsAha
vRtamyuddh
vaktrasyam
viShvadrIc
viprovRxas
vyAptamlok
yAvachakre
