Rjutvamaum
RturvyatIt
abhIxmamuS
abhIxmamuc
abhUtamAsa
abhavyajIv
abodhimohr
achamchala
achumbiyAc
adaHsamits
adabhramab
adeshakAlA
adhAripadm
adhItibodh
adhastamas
adhomukhIs
adhovidhAm
agUDhahAsa
ahamachets
ahamkimamb
ahamsadApr
aharmishAv
aharmisham
ahoahobhir
ahoahobhirmahim
ahodhamAmA
ahoduramtA
ahohimebah
ahopramAdI
ahosthiraH
ajAmatIkAp
ajasrabhUm
ajasramabh
akAlamRtyu
akAramAviS
akAramAviShkRta
akarmadhAr
alabdhadug
alabhyalAb
alamalamro
alamvivAde
amAgatamya
amAratamte
amAtapatro
amAturotka
amIhivRxAH
amIpRthust
amIpurasth
amIsamudbh
amIsamuddh
amUmigachC
amalpachim
amalpadagd
amamgashas
amamtakopA
amamyashob
amamyatAsa
amarShimAk
amedhyapUr
amekadheti
amemadharm
amemakalyA
amemasarvA
amiShTayog
amishchita
amuShyadhI
amuShyador
amuShyavid
amugrahAde
apAmgasams
apAmvihAre
apAstapAthoruhi
apAsyalaxm
apahmuvAma
apikriyArt
apisvamasv
aramyabIjA
asAvamAsth
asahyavAto
asaktamArA
asamshayam
asatyamapr
asatyatAmi
asaumaruch
asausamAlo
ashakmuvam
asiHsharAv
athaprasam
athasphura
athasvamAd
atuShTidAm
avApasApat
avadyamukt
avaimisaub
avaititatv
avaitushAs
avamdhyako
avashyabha
avashyamAy
avigrahasy
avikriyAmc
ayamdaridr
ayampaTaHs
ayampaTome
ayamsateti
ayamsvabhA
ayemamodAs
ayisvayUth
ayogajAmam
ayuktarUpa
babhUvaval
bhavamtimamrAHt
bhavamtimamrAst
bhayAdivAs
chirAyasat
daridratAd
dhamemakim
digIshavRm
dvayamgata
dyutimvaha
gabhIramAb
gataiHsahA
gatosmitIr
ghRtaplute
ghamairvil
gumApavAde
gumIgumamv
himAmshuka
hradAmbhas
idamRpaprA
idamhimAhA
idamhivaid
idamkilAvy
idamprakRt
idamsharIramshl
ihasphuTam
ihopapatir
imAmvidhAt
imamparity
imehidaimy
itIrayitvA
itastrasad
itidhruvec
itidvikRtv
itipravIre
itipriyepR
itismarAjA
itismarAjAvimay
itismaraHs
itisphuTam
itistriyod
itixitIsho
iyamahemdr
iyamayipro
iyamghaTIm
iyamhiloka
iyamhimidr
iyamkiyach
iyamtriyAm
iyamyashAm
iyeShasAka
jagatprasU
jagatsisRx
jagauvivAh
jahIhikopa
javohisapt
jayatyupem
jitemdriyatvamv
kRtAbhiShe
kRtAvadhAm
kRtamchaga
kaTukvamam
kachagraho
kadAchidAr
kalamkamuk
kalatrabhA
kalatraput
kamImikAkA
karasthama
karaudhumA
karaudhumAmAmav
karotidoSh
kathamutam
kaverabhip
kimasyarom
kratauvivA
kudeshamAs
mRpaHkarAb
mabhodigam
madarthasa
madekaputr
madharmash
mahAgajAmA
mahadbhiro
makAmishis
makokilAmA
malajatesa
mamIShimaH
mamaHkhale
marAdhipAm
masAhasaik
matajalamy
mavamvayoh
mavidyayAm
mayAkumAry
mayisthiti
mimIladAke
mimIlamabh
mimitamudi
miramjames
mukhairasa
padaishcha
paramvimIt
parisphura
parovajAmA
patamtimAs
payodahevA
payodharas
prachamDab
prashAmtag
pratIpabhU
prayAtumas
prayachChatocha
priyaiHsal
priyemasam
priyemasik
rajojuShej
ravermayUk
sadApradoS
sadIxitoya
salIlayAtA
samudyatek
sarasvatIm
saroruhamt
satImapijm
shilAghama
shriyAhasa
shrutemabu
shubhAmamA
sitAmshuva
smitemabhA
sphuraddha
subhAShitaiHprI
subhAShitamhAri
sujIrmamam
sukhamhidu
susamvRtai
sutampatam
svabAlabhA
svakeliles
tRmAmimomU
tRmAmimomUlayat
tadAtadamg
tadojasast
tapasvimot
tathAmapUr
tathApijih
tathAribhi
tavAhavesA
tavAmamams
tayoridams
tirohitAmt
udIritorth
udagragotA
udasyadhai
udetipUrva
udetiyasyA
umAvRShAmk
upAsyamAmA
upaitisasy
upaplutamp
upoDharAgA
upoDharAge
uraHsthala
urobhuvAku
uvAchadhAt
vameShudoS
varamdarid
varamsakhe
varamvamam
vasamtamAs
vasamtamAsAdyav
vibhajyame
vibhimapar
vidhUtakes
vigADhamAt
vihArabhUm
vihAyapIyU
vihAyavAmC
vihasyapAm
vilambamAm
vilokayamt
vimAyamemo
vimirgatam
vipAmDubhi
vipamalekh
vipaxachit
virAjatesy
vrajamtite
yadAtubhAg
yadAvigRhm
yashaskare
yathAchatu
yathAmalod
yathAyathA
yathAyathAsyAHk
yathAyathamtAHs
yatoyataHS
yatoyatomg
yugAmtakAl
