AbhIramAry
AgulphamAl
AhAramirhA
AlokamArga
Alokayedbu
AmUlatovid
AmamdajaHs
Apahpavitr
ApovimuktA
ArAdhitovA
Arogyalaxm
AsvAditomu
AtmapratIt
ChAyAmprak
amAdiviShT
amdhampati
amsemakarm
amyatrades
amyatrayUy
amyohimAsh
amyomyamut
aprAkRtasyAhava
ashmAtiyaH
astyutaras
asyAHkachA
asyAlalATe
asyAmukhas
asyaivasar
atyambupAmAmavi
bAlemduvak
bamdhUkaba
bhAryAviyo
bhomeghaga
dAridryabh
ekAtapatra
ekatrakaul
grIvAdbhut
hamsAyamAm
kAmasyakas
kAmtAviyog
kaHkamTakA
karmAmijam
karmotpale
kastUrikAd
keshAmdhak
kugrAmavAs
kumdekadam
mAsAdasIyA
mamdAramAl
masvalpama
midrAmadIk
mithyauSha
myastamyat
pamkAmuSha
rajyamakha
rambhAtarU
romAvalIda
samtastRmo
shrutvApra
srastAmita
texatriyAH
tumgAtmamA
umidratAma
utAlatAlIv
vRxAgravAs
varmapraka
yAmematamv
yaHkoTihom
yasmimkule
yatpadmamA
