AdehadAham
AdhUtasasv
AkAmximamx
Alokayedbu
IshaHkaras
ahamtamIyA
ahomahatva
ahovidhAtr
ajArajaHpa
akausumIma
amamgabAmA
amamgatApa
amamtaratm
amarghyalA
amemayogem
amsAvavaSh
apitvayAka
asauhisamk
avishvasam
ayamrasAla
ayesudhAka
bahirmalol
bhimatibhI
chaladbalA
didRxamAma
ghamodyame
gumAshraya
imAmchavim
itastatosm
iyamukhAmb
jaghAmabAm
jalabhramo
kaShAyamuk
kalAdhimAt
kalAdhimAthAmay
kalAtamAyA
kalamkahIm
kalatrachi
karotimAms
karotivair
kuTumbachi
kulAchalAy
mRgAHpriyA
mabholatAk
mapaxavRti
marasyachi
papAtamero
paropakArA
pravAtamIl
shilImukho
striyohimU
svadeshajA
upasthitev
upexamIyai
vapuHparIm
vicheShTit
virAmamevA
yadaivarAj
yadipriyev
yashodhiga
yathAyathAyamva
