AHpAtrIsyA
AdauhAlAha
AdhixAmAmv
AdyaHkopas
AdyebaddhA
AgarbhAdAk
AhvAmamkim
Akarmyamte
AkaumArAdg
AkaumArams
AkimchamyA
Akramyocha
AkruShTopi
AkumchyAgr
Alimgamtem
AlokAmtAtp
AlokAmtapr
AmRdgamtas
AmUlAgrams
Amamdormiv
AmamrAsyAH
AmatAmAmsh
Amodaisted
ApRShTAsivyatha
ApRchChamt
ApamUlamkh
AraktAmAma
AsItpUrvam
AsamsArAtr
AsamsAramt
AstAmtAvadvacha
Asterohatk
Astikyamch
AsvarlokAd
AtmArAmAvi
AvRmvAmAjh
AviShkurva
AvirbhUtoj
AyAmtyagre
AyAtamAmap
AyurlekhAp
AyurvAyuvy
UrIkartumt
UrUrambhAd
abdherambh
abhradhvAm
abhyAyAmta
abhyasyAda
adhvamyAmA
adhyAhAraH
adhyAhAras
adhyAkrAmt
adreHkimsv
adyomIlama
agmyAkAram
agregItams
agrevyAdha
ambhobimdu
ambhojAxyA
amdhAmyamv
amgAkRShTi
amgIkurvamRtaru
amgairamta
amgemAmgam
amgemamgaj
amtashChidrairi
amtastAram
aprastAvas
apyautsuky
apyudAmavy
arkachChAy
arthAmasyu
asmadvairI
asmatpUrva
asmimIShad
astamyAtas
astavyastA
asthImyast
asyatyucha
atrAyAtamp
avyAdviShm
avyAkhyeyA
bAlAtamvIm
bAlebAlAvi
bhAmoHpAda
bhImashyAm
bhUHparyam
bhUShAbhog
bhUyobhUya
bhalairbhi
bharturmit
bhasmIbhUt
bhedAbheda
bhitvAsady
chAmdrImle
chApAchAry
chUtashrem
chitramchi
chitrotkIr
cholIcholI
dAyAdatvam
dIrghIkurv
dIvyamauli
dRShTaHsAx
dRShTvAsph
dRShTvAved
dUrAdartha
dUremArgAm
dadyAtsAdh
daivAtpash
darpodreka
devAdaityA
devaHpAyAt
devevarSha
dhAtuHshil
dhUmajyoti
dhatechaxu
ehyAlimgat
ekAbhAryAp
ekAkimyAma
ekAmkRtvAt
ekIbhUyasp
ekachChatr
ekastredhA
ekekechity
ekemAxmApa
ekemAxmApr
eketumbAvr
ekobAmaHsp
ekobhekaHp
emashremiH
etAvamtams
etairjAtai
etasmAmAmk
etatkRtvAp
etatsarvamshRmu
etepalIpar
etevaiyAka
gamDAbhoge
gamDepAmDa
gamdhADhyAsaubh
gamdhairAD
gamgAdImAm
gamgAtIreh
gehegehesu
ghRShTamgh
gopAyamtIv
gotresAxAd
hAhAdevisp
hastAmbhojevada
hastIvamya
hastasveda
heShamteya
hemaHkArya
herAjAmast
imdoHkAmti
imdorlaxma
ityAkhyAte
jRmbhAramb
jamasthAma
jambIramvA
jihmolokaH
jmAtAmaitr
jyotsmAbha
kAShThamva
kAchidbAlA
kAchidbAlAramam
kAlekAlema
kAlemasyax
kAmIkAmavr
kAmaHkAmam
kAmakrodhaudvay
kAmamvAcha
kAmavyAghr
kAmtAkelim
kAmtAmdRSh
kAmtAmhitv
kAryAkArye
kAsambuddh
kAyasthair
kachitsaum
kachitsaumyavya
kailAsasya
kalkIkalka
kalyAmAmAm
kalyAmamaH
kamThAdrak
kambAghAta
kamchitkAl
karmAramya
karmautAva
karmekAmtA
karmotamsa
karpAsAsth
karpUremas
kashchidvA
kashchitkA
kashchitkaShTam
kasmAdUtis
kasmAdbhag
kasmAtkoha
kasrAghAta
kastvamshUlImRg
kastvamshUlImRgayabh_1
kasyAdeshA
kasyAkhyAy
kemAsImaHs
keyamshyAm
kimpRShTem
kimvRtAmta
komirdagdh
kopoyatrab
kulyAmbhob
kumdamdamt
kutrAyAsIH
lIlAvalIbh
lajAkIrtir
laxmIpAmid
mAlAbAlAmb
mAmAkAshap
mAsyashlAg
mAtarmAyeb
mIlAbjAmAm
mIpaskamdh
mIpaskamdhekuha
mIramdUram
mItAkumbha
mIvIbamdho
mUkArabdha
magmemerau
maiShAmsam
maiShAvega
maitachitr
mamyeramye
matvAchApa
maumAmUkaH
maumemaumI
meghATopai
meyamvidyu
mirmetavyo
muktAhAram
muktvAmamg
pAdAsaktes
pAdamyAsam
pAtaHpUShm
pAtaHpUShmobhav
pAyampAyam
pImotumgas
pUrvamtAva
pamgovamdy
paurohitya
prAdurbhUtemava
prAmeshema
prApyAvamt
prAsAdesAd
prAyaHkAvy
rAmomAsaum
resAramgAv
sAdhvIstrI
sAmtvaprAy
sAramgAxyA
sAyamdAmag
sabhrUbham
samaddhoya
samdhyAmko
samxipyeta
sarvAstumb
sarvaHkaly
sarvajmaHs
sarvasyadv
satvAdisth
saurabhyem
shAstrajmo
shItetItev
shomaukoma
shreyomUma
shromIbamd
shyAmAsvam
sthAmesthA
svalpambrU
svapmedRSh
svimaugamD
tAmbUlAkta
tAmjAmIthA
tRptyAmady
taiHsarvaj
tamvIshyAm
toyairalpa
trAtumlokA
tumgAbhoge
tvAmAlikhy
tvambhoHsh
uchaiHkumb
uchairdaiv
udeshoyamk
udeshoyams
ugraiHshAp
umeShamyom
umuktAbhir
urvImaurvI
urvImgurvI
utpashyAmi
vAchyamtas
vApIkApisp
vApItoyamt
vAramvAram
vAramvAramdhuta
vImAmamkek
vRddhihrAs
vRmdAramye
vahmeHshak
vaktropAmt
vamdedevam
vidyAratma
vidyAtIrth
vidyotamte
vidyuchChU
vrIDAyogAm
xobhamdhat
xomIpAlatv
yAmItyukte
yAmimyeShA
yAvadyAvad
yAvadyAvat
yaHprAgAsI
yadvAtmAma
yadvIchIbh
yadvamadyo
yairvAtUlo
yasmimucha
yasmimvish
yasyAshcho
yatrAmekaH
yatrAmekek
yatrAmodom
