arAtibhiry
athochakai
avajmayAya
avamtiyeja
drutadrava
gajavrajAk
garIyasaHp
gatemukhac
kadAmukham
kathamvida
kvachilasa
mabhomadIv
madAmbhasA
mahIyasAma
mirIxitumv
purAsharax
samasthalI
samulasadi
shiroruhai
susamhatai
upetyatAmd
viShamgibh
viShamgimi
