AchAradhAr
AhAradoShA
AsIdvaraHk
AshAsyamam
AshleShash
AshliShTab
AsvAditams
Avartashob
AyAtihRShT
abhyumatAm
abhyumatAmAmamu
amlAmirAmo
ardhAmgamA
arthAturAm
arthAturAmAmagu
arthairame
asyaprayAm
dAmamadata
dAmamdarid
dambhemalo
eShogmihot
ekAhamiShp
etatkuchas
gItAmtareS
ghaTopaviS
hamtAlisam
ichChamtik
kAkasyacha
kAryArthimodIrg
kAtvamshub
kalpadruma
karmArpito
kedArabhAj
kimchAruch
kimvAsaset
madhyamtam
pAShAmakha
padmAmkasa
prAmeshavi
rAmAbhiShe
ratmasthal
raxamtipax
repadmimIp
samtApitAm
shrIdhAmid
shvashrUmv
svargachyu
tIretarumy
tarkoprati
udgRhyavIT
udghATyach
udghAtayed
umyadUramu
utkhAyachi
utpAdyaput
vRmdematAr
varShAsujA
yeShAmavid
