abhihamtih
abhivIxyas
abhiyAtima
adhikomata
alasairmad
apadAmtara
apashamkam
aravimdavR
avalokyama
ghaTamAmak
girigahvar
ibhakumbha
ihakimprat
itivismRtA
kamalAmipA
karayugmap
mabarIbhar
malimAmtik
mavamIlame
mibiDAmuSh
rabhasemah
samahAmaTo
tarumAmdiv
tavamityam
upabarhama
vipulemasA
vyachalamv
vyatamodap
