Achumbitam
AkAshakumD
AkAshasaudhesha
AkarmyabhU
ApUjitaivA
ApUpayugma
AvRmvatolo
alamhimAmI
alamkriyAs
alomashamp
amAptapumy
amAryamapy
asamataHka
asambhRtam
asaumahemd
atItalAbha
athAtmamaH
avamtimAth
avashyamiS
bhujaprabh
chalamtiye
chikitsaka
gavIshapat
jaDAstapob
jayedharit
kadAhimUrk
kalamkadAs
kapolakamD
karairupAt
karemavAmC
kimasthimA
madIjalamk
mahIpateHs
mamestivid
mirIxyavid
purAmamity
sapAtuvoya
svarematas
tapopakamT
tathAhaThA
trivikramo
vRthAgatam
vameramesh
vayaHpraka
vivasvatAm
vrajamtipa
