AkarShatev
AlAmamumUl
AmRtyutoma
ApImabhAro
ahamyahamy
alamvilamb
alamvilamg
amAdidhAvi
amamyasAmA
amekavidva
apamDitAst
asaugataHs
asheShalam
bhramAtpra
bhujevishA
hRtomgarAg
jamiHsarom
kRtopakAra
kadAmukamy
kapolapAlI
karotihumh
kathampriy
kavitvasha
mavArayAmo
midheHkalA
mishamyake
miyuktahas
mukhampriy
sudhAmayop
upAdadetas
upakramamv
vidhorvidh
viramchimA
