AgulphamAl
AmUlatovid
AmamdajaHs
Apahpavitr
ArAdhitovA
Arogyalaxm
RtemajIved
adhItavidy
ahomukaShT
akAlachary
alIkarUpoy
asajamaHsa
asamukhAlo
athAsasAdA
chakoramet
chaladbalA
divAmisham
jagadvadhU
karamgRhIt
karoShiyat
mRtasyalip
madhudvire
makasyachi
papAtapAth
pratixamem
purAkavImA
sadagrahAr
saroruhAxI
supAtradAm
tamutyajAm
tavArimArI
upasthitep
upexitaHxI
vasamtavis
vayobhimAm
vibhUtirar
yashaHshas
