AchAradhAr
AhAradoShA
AshAsyamam
Avartashob
AyAtihRShT
RShImshcha
abhUtapUrv
amAdidhAvi
amItilAHta
amItilAsta
amemasArdhamvih
amoramIyAmahato
amumsahAsa
apAmgapAta
apUparAsha
asUtasAmAg
ataHkavirm
avibhramAl
dadhauhari
idamadamch
karevidhRt
karotimosh
karotiyosh
kavIshvarA
kayAsikAmi
pradoShamA
prakAmamab
priyeprayA
shirIShako
shrutirvib
tRShAmdhar
tvayAmadam
tvayiprasa
umAtamUjem
vidhAyamUr
vilAsimImk
vishAmpate
viyogabASh
yaditrilok
yashodayAm
