abhitApasa
abhitigmar
amRtadravairvid
amalAtmasu
amarairgat
amudehamAg
amukUlamar
amulepamAm
amurAgavam
aparAhmash
athalaxmam
athasAmdra
avadhAryak
avadhIramA
avamamyava
avibhAvite
avibhAvyat
avimRShyam
bhavamodar
dadRshepib
dadhatisph
divasambhR
drutashAta
gatavatyar
gatayApura
itigamtumi
kadalIprak
kakubhAmuk
kalayAtuSh
kamakamsug
kararuddha
katisamtim
kimahamvad
kimalambat
kimayamshi
kukubhAmuk
kusumAdapi
machamevag
madhuromat
mamarUpakI
mamusamdis
mavachamdr
mavakumkum
mijapAmipa
milayaHshr
mipapAtasa
parimamtha
patitepata
pidadhAmam
prathamamk
pratikAmim
rajamImavA
ruchidhAmi
sthagitAmb
tavasAkath
udamajikai
uditampriy
uditorusAd
upajIvatis
upametumum
upasamdhya
upatApyamA
upavImayam
vasudhAmta
viShatAmiS
vidasomumi
vihagairga
vihitAmjal
viralAtapa
vishadapra
vyasaramub
yugapadvik
