RjudRshaHk
abhiShiShe
abhihitApy
abhilaSham
abhimavamg
abhimayAmp
abhimukhAg
abhimukhem
adhRtayadv
adhamamitr
adhilavamg
aghaTitamg
ahahachamD
ahahakarma
ahamihasth
akarumatvamakAr
alaghutAja
alibhiramj
alirayamal
aliyuvAvil
amRtasikta
amadayamad
amasisIdat
amubhavamv
amuchiteya
amugRhAmas
amumamAram
amuvamamva
apatuShAra
apidalamuk
apimRgAxit
apividhiHk
arumarAgam
arumitAkhi
asakRdekar
asamasAhas
asamayemat
ashamamAtr
ashuchitAm
asitamekas
asubhRtAmv
asulabhAsa
atamumAmav
atichirAda
atisharavy
avachamamv
avasitamha
avatumaHsa
avatuvaHsa
avayaveShu
avayaveShuparas
aviratAmbu
aviratampa
ayamahoraj
ayamasaubh
ayamasauga
ayamayogiv
ayichakora
ayikaThora
ayikuramgi
ayikuramgituram
ayimRgAxit
ayimamaiSh
ayiparArip
ayivaroruh
ayividhump
bakulamAli
bhRshamadU
bhuvamamoh
dadatamamt
dadhatitAv
dahamajAma
dalamatasp
dalitakoma
dalitamauk
dhRtatuShA
dhvajapaTa
drutasamIr
dviradadam
gajabhujam
gajakadamb
gajapatidv
ghamaghamA
grasatikop
gumavatast
gurusamIra
hRdayamAsh
himaRtAvap
hutahutAsh
idamahamka
idamamamya
idamapAsya
idamasauta
idamayukta
ihagamiShy
ihamuhurmu
ihapuromil
itaradevab
itarapApap
itaratApas
itigadamta
iyamasauta
iyamiyamay
jagatimais
jaladapamk
jalamidhau
kRtamadami
kalahamAta
kalitamamb
kamaThapRS
kamakabhUS
kamakabham
kamakakumD
kamalabhUt
kamalapala
kamalimIma
kamalimIva
karapadAma
karikapola
kathamasau
kathamasaumadam
katichidud
katimasamt
katimasamtimahI
kimapikAmt
kisalayAmi
kusumajama
kusumakArm
kusumameva
kusumayamp
kvapishuma
lalitavibh
madhukarai
madhuparAj
madhurayAm
mavakadamb
mavapalAsh
mavapayaHk
mayagumopa
mayamamIra
midadhired
mijarajaHp
mivishatey
mukhasaroj
paTalamamb
padamamamt
pashupater
patiratIva
pibapayaHp
pramayakop
prathamamamyabh
pravasataH
priyasakhI
priyatamem
ratipatipr
ravituramg
sahRdayAHk
sahatayAsm
samabhisRt
samavaloky
samayaevak
savikachot
shamitatAp
shatapadIs
shikharimi
shikhimikU
shirasidev
shishiramA
shrutisukh
shushubhir
smarahutAs
smaramRsha
spRshatiti
sphuTamivo
sphuradadh
sphurasibA
sukulajama
suvadamAva
tamuruhAmi
trijagadam
tvamuchita
tvayimibad
tyajatamAm
ubhayameva
uchitakarm
udaraevadh
udayasimha
upachitAva
upachiteSh
upahitamsh
upakRtamba
uparipImap
upayayauta
vadamasaur
vadatirAma
varamamIta
varamasaud
vasatikutr
vasumatIpa
vidhiramam
vigatarAga
vilulitAla
virachitAm
viramamAth
viramaratm
visRjasumd
vitaravAri
vramabhRtA
vramagurup
yadidahaty
