AhUtAmAyAs
asmAbhirbh
bahavastey
bauddhAgam
chiramadhu
dUremalayo
jIyAdrasam
jayatijaga
meghAtyaye
mipatatiki
priyamamDa
vemustvada
vihagapati
vismAritAm
