Achumbitam
AkAshakumD
AkAshasaudhesha
AkarmyabhU
AlIShukelI
ApUpayugma
AsphAlitam
AvRmvatolo
abhyumatev
adyeshvarA
akrodhavai
amAshamesy
amviShyakh
ardhAchitA
ardhAmchit
arthAgamom
ashmAtiyom
asyAHpadau
asyAmumImA
atyamtakam
atyamtakop
bAlopichor
bhogAmabhu
chakrItris
chitramahA
devAdhipov
dilIshvaro
dyUtemitha
ekAsamasth
ekobaTurda
ekohidoShogumas
etehividyu
gopAlamAmA
itthamadhU
ixorvikArA
jAmImahesy
kAchimRgAxIpriy
kAchimides
kAlaklamai
kAmamkarIS
kAmtegRhAm
kAryasyami
kAshailapu
kamDUyated
karmausapa
kashchidya
khAdamagac
labdhAspad
mAmgIkRtav
mRtyAvasAm
mabrahmavi
maiyAyikAv
midrApriyo
muktotkara
patiHpadAt
prAptAjarA
rUpamjarAs
rambhApiki
sadvedimad
samchimtya
shlAghyaHs
tArAgamAsh
tyAgohisar
utamsitamb
yaHkAkimIm
yasyAstisa
