AdhUtasasv
IshaHkaras
amdhamtama
amsAvavaSh
amyomyagop
arthaHsukh
asmimvasam
astamgateb
asyAlalATe
asyAstamus
chakremavi
chamdrAdhi
eShAvrajam
gIrbhirgur
garjamhari
kAThimyama
kAchitkarA
kAmtishriy
kArpamyavR
laxmIdha.R
mAmAlatiml
mamdamtima
miShpIDito
midrAmivRt
pArshvasth
paryAptapu
ratmAvalIp
ratmairmah
sArasvates
sadvamshajAtamg
shIlAmitec
svAyatamek
uddhUtakAm
vAsovidhUy
