AchAramAch
AdikavIcha
AhRtyapari
AsamovalmI
AshAyAyedA
AshIrvAdam
Astekashch
Avatsarama
AyAtAmadhurajam
AyAtuyAtuk
aTatAdhAtr
achyutabha
adyApidurm
ajmAmemApi
amRtamkira
amalamkRto
ambarameSh
ambarameva
ambhoruhAx
amchatiraj
amjamamiSh
amudhamama
arpayatipr
arthAmAmad
arthemarax
ashamameva
ashmItapib
ashvatthas
asramajasr
avalambita
avamausham
avyutpames
ayikimguma
bhavatAmah
bhixitakam
bhramarahi
buddhasyam
chitramkam
dUramudasy
dhIradhvam
dhamabAhul
divaseghaT
dvAristamb
eteShAmamu
etehidehad
gachChamba
gaurIpater
ghRtalavam
ghaTitamiv
idamaskhal
idamudishy
iharUpamAt
ihavatsAms
kAmegatiri
kaThimamvA
kaTukamvAm
kakubhakar
kalahAyamt
kalahaHkad
kalikaluShemama
kapikachCh
kasmaikimk
kathamapip
kavisAmAmy
kimbhAgyam
kimitikRsh
kodharmobh
komAmamAmu
kutravidheyovAs
lIlAmukuli
lambodarat
lochamaphu
mAbhUtsaja
mRpatimijA
mUkaHparAp
masavarmom
mayamayugA
mayamotpal
prabhavaHk
praharatim
rAdhAmadhu
rogomDajom
sAxAdabhUt
sajayatichamDIs
sakhidasha
sakhihepas
sakimusahe
sambhimayo
samyagamiS
satpAtropa
shirasivit
sugRhItama
taTimichir
tacharamAm
tasmAmahIp
tasyAmsuta
tavaviraha
tavavirahe
tavaviraheharim
tyaktavyom
uchitambam
uddhavamAd
umataghama
upabhuktak
upakAramev
upakRtisAh
vApyobhava
vadamamida
vaxaHkimuk
vayamapika
vidhRtAHpr
vikasatisU
yadamIdash
yatrArjave
