AbhAtibAli
Acharatidu
AdAyavakul
AdaugRhIta
AdharmikaH
AgachCheti
AgamarUpav
AhitamuktA
AjamamAdAmaramA
Akalitoruk
AlikapAlim
AlimgadApy
Alokyachikurami
AmIlitamay
Amerumalay
ApAtAlagab
Apadimitra
Aryajamami
AsAdyateka
Ashrayitav
AtmAstisar
AtmopakAra
Avarjitaiv
AyAmimosta
AyAtAHsakh
abalADhyav
abalAyatra
abhimavama
abhimayash
abhyAsapar
achalastiS
adharebimd
adharevimi
adhiyAmimi
adhumAmadh
adhyAsyasa
adrohaHsha
agamitayas
agumakamog
alamAtmIya
alamathavA
alikulamam
alpepimRpa
amRtamidhA
amapatyeSh
amavaratak
ambujamamb
amgAmikhed
amgambhUSh
amhaHsamha
amibamdham
amtaHkaramavikA
amtastavas
amukUlesat
amurAgAdab
amuramjaya
amuyAtAmek
amyAbhyova
amyasmAlab
amyopabhog
apamAmaHpa
apasaramad
apidorbhyA
apilalitas
apratibudd
apyatishay
asakRmetis
ashrutamiv
astamgatav
ataTasthas
athakokila
atigambhIr
atiparamAd
atiparichayAdavajmAi_1
atiparichayAdavajmet_1
atirichyat
atiruchira
ativishadA
ativitatag
avasarapaThitAv
aviralapar
avishuddha
avitathama
bAmAdamyek
bAmeShvAro
bRhadAkAre
baddhAmami
badhirayat
bahutarahi
bhadremura
bhagavadam
bhujapamja
chAtakadhU
charamakam
damtAvishl
divisAmdhy
draShTavya
duHsahatAp
durjamavac
durjamavad
dvijarAjas
eShavisheS
ekamahiSha
ekamlimgam
ekastvamga
ekogirisha
gachChatim
garjitamAk
ghamasamay
gururekaHk
haramukuTe
hlAdamatAp
ichChetpar
idamevahij
ihamishimi
ihatavadev
ihavichara
imdimdirom
imduHkimkv
itarabhaja
itimetrAdi
ityetAHkuT
jAtAlatAhi
jyautiSham
kAhitulAma
kAkeShutvA
kAryehAmus
kAstrImapr
kAvyAmimah
kAvyamyash
kAvyaprapa
kRShmAteka
kRpamasamR
kRtamamdap
kaHkaukeka
kaShTamjIvatiga
kaThimakuc
kachabhArA
kadalIkara
kajabhajav
kalabhatav
kalahAmtar
kalamAHpAk
kalaravaka
kalayatiku
kalayekisa
kalikaluSh
kamalAHpAk
kamalAchib
kamalAkuch
kamalAsama
kamalamtav
kamamIyatArahAr
kamdalayat
karimadapa
karkashata
karmAmiyAm
kartumakar
kastUrikAmRgAmA
kasyakarAm
katikatimalatAH
kaviShudad
kavirahitA
khidyatikU
khimAlasam
kimadhumAk
kimakArima
kimitisakh
kimkhalura
kimkrUramp
kimkupyasi
kuchadurga
kusumamkos
kusumitala
labdhArdha
laxmIshcha
mAgavisheS
mAramamamu
mAsAmaukti
mItamavama
mRdulavali
maShTevAri
madamasyam
madhudhAre
madhukarat
madhupaiva
madhuraHsu
madhurasva
maitAHsvay
malimAapis
malimayitu
malimepirA
mamdamajam
marditarAv
mavamItama
miShpatrAk
mitarAmIch
muktAmayam
mumDojaTil
myAyamadhI
pATIratava
pAtayatihR
pAtrApAtravivek
pRShThekam
pamagadhAr
pashyatipa
pishumatva
prAchIkumk
pradhamAdh
promChatid
rUDhasyasi
raghuvamsh
rajamIShuv
ramamIyaHs
ravirapima
relAmgalik
ruShTekApa
ruchirasva
rudhiravis
sAdhAramat
sAhajikarU
sAkavitAsA
sUtesUkarayuvat
sahRdayaja
sajayatich
sakhipativ
samadamata
sampadamat
samtatamus
samupAgata
satyamtapa
shabarakum
shivayoHsu
shleShmAgA
shokamAkur
shuShyatik
skamdojaya
soDumalama
stamayugamuktAb
suhRdimira
sujamAmAma
sukaparivi
suratamtad
suviralama
svaparapra
svarmaimAj
tarumimamikalay
tavakuvala
tavatamvit
tavavirahemalay
tiShThatig
tigmaruchi
tvadviraha
tyaktvApim
uchitAmupA
udarambhar
udhriyamAm
uditamDala
ulamghyasa
umayatimAb
upabhuktAs
upadishati
upaharamam
upakArAyam
uparigatam
upavishati
utArayativ
utthAmesab
vAchayatim
vAsukigara
vIratvadri
vastumichi
vemIbamdhamahIm
vidvatkava
vidyAvimay
viparItama
vipriyamap
viralAjAma
vishvAsyam
viyativilo
vyAkaramas
yAchakavIr
yaHpaThati
yadiShaTpa
yadikupyas
yadimatosi
yadyapikha
yaistvamgu
yasyamasav
yatrapatat
yoShidvasa
yostishivo
yugapatsva
