RShirayama
Rjumayamam
abhilaShas
abhilaShat
abhimataph
abhimavaku
abhimavamavamIt
abhimavamavamItasmig_1
abhimavapu
abhimavavi
abhimavaya
adayadasha
adhigagama
adhigamama
adhigatapa
adhikarata
agurusurab
ahahasahaj
ahamihakRt
ahamivadim
ahibhavama
ahiripupat
ahirivajam
ajamirajam
ajamishish
akRtavisha
akachaTata
alalitagat
alamalamam
alamalamat
alamalamativRdh
alamalamiy
alamaticha
alasabhuja
alasalulit
alasamukul
alasavalitamugd
alasavilasitAmA
amRtamayam
amRtavacha
amarayuvat
amavaratad
amilamikhi
amimiShama
amubhavatayuvat
amuchitamu
amudimamad
amudimamat
amudumamam
amujagurat
amumayamag
amurapimam
amuvamamam
amuvamamamushai
apagatamad
apaharatim
apaharatimahatv
apidimamam
apidivasam
apijamakas
apimadatha
apimudamup
apipibatac
apituragas
arumadalam
arumajalad
arumajalaj
arumakiram
asamasamar
ashubhapuS
asitagiris
asitakhura
asitamayam
asukhamath
asurasamar
athajagada
athakRtaka
athamayama
athasalali
atibahutar
atikupitam
atimRdumav
atuhimaruc
atulitabal
avachitaba
avatimikhi
aviditasuk
aviralamadadhAr
aviralamid
aviralamiv
aviralaparivAha
aviratamad
aviratamav
aviratamid
aviratarat
ayamabhima
ayamalaghu
ayamamRtam
ayamamRtamidhAm
ayamaparal
ayamapikha
ayamaraviv
ayamuShasi
ayamudayamahIbh
ayamudayat
ayamudayaticham
ayamudayatichamdrovA_1
ayamudayatimudr
ayibatagur
ayidaladar
ayimadamam
ayipibatac
ayisakhipa
ayisarasij
ayisutamus
bahalabala
bahujagada
batasakhik
bhavamabhu
bhavamamiv
bhavatigam
bhavatihRd
bhramarama
bisamalama
chapalatar
charamagirikura
charamakamaladA
chiraratip
dadhatikuh
daralalita
daravigali
davadahama
dhavalakus
dhavalayat
dishidishimRgay
drutatarak
dvigumakaT
gagamavipi
gatavatidi
ghamaghama
ghamasamayamahI
ghamatarag
ghamataraghamav
gumavadagu
hRdayatRma
hasatilasa
himakarapa
himashishi
idamamRtam
idamamudit
idamapaTuk
idamasulab
idamidamitisamy
idamupahit
ihabahalit
ihahimadhu
ihahimavav
ihajagatir
ihamadhupa
ihamahiSha
ihamichula
ihamichulamikum
ihamivasat
ihamivasatimeru
ihasamadas
ihasarasis
ihasarasisaharS
ihashikhar
ihavijayim
ihavikasad
itibahubhi
itikRtavac
itimadamad
itiparigam
itivirachi
jalaviluli
jaraThaiva
jayatirati
kRtadhaval
kaTuraTasi
kachakucha
kalahakala
kalayakama
kalayatima
kamakakama
kamakakamalakAm
kamakamRga
kamakamika
kamalamaya
kamalamayamakel
kamalamuku
kamalashar
kamalavama
kapaTakali
kapaTamaTa
kapaTashat
kapaTavach
karabhayad
karacharamakRta
karajadash
karakisalayamUl
karamabhag
karatarali
karikavali
kathamagam
kathamapih
kathamapim
kathamapit
kathamavam
kathamiyat
kathayakat
kathayakim
kathayatai
kathayatak
katikatimavasam
katikatimavasamteval_1
kavalayati
kavalitami
khapavamas
kharamakha
kimapikima
kimapikimapimam
kimihabahu
kisalayami
kramasaral
kumudavama
kusumapari
kusumashar
kvavasatil
laghumitRm
lulitamaya
mRdulakama
mRdupavama
mRgashishu
mRpatimuku
mabhasijal
mabhasimir
mabhasivir
madamadaha
madhumadhu
madhuramiv
mahibhavat
malalavami
malayabhuv
mamasijavi
mamasivach
marapatihi
mavakamaka
mavakisala
mavakumuda
mavamakhap
mayamapath
mayimalaya
mihatamiha
militamihi
miyamayasi
miyataviSh
mukhakRtab
mukhavidhu
pRthugagam
pariluThat
parimRdita
parishithi
pathipathi
payasisali
praharakam
prakaTamal
pramatibhi
prathamadi
prathamavayasid
pratimagar
pravishajh
priyavirah
rachayatiy
raghutilak
rajamichar
ratirabhas
ratirabhasavilA
sahakumuda
sakalabhuv
salalitama
samarashir
samaraviha
samitipati
sapadikumu
shRmuhRday
shamitamik
shashapada
shishiraki
shithilaya
shukaharit
shvashurag
sitakirama
smarasharadhimi
sphuTamasa
sphuTatara
sthagayati
sthalakama
sutamujahi
sutamujahihimau
svasukhami
tadavitath
tarumatara
tavakaraka
tavakusuma
tilakusuma
turagashat
tvadarimRp
tvadarimRpatike
tvayisatis
tyajasiyad
uDugamapar
uShasiguru
uShasigurusamIp
uShasimala
uShasimibi
uchitamamu
udadhirava
udayagiris
udayamudit
udayatiyad
uditavatip
upadhivasa
upalashaka
upamayamav
upamayatik
uparividhR
upavamatar
urasimipat
urasimurab
vachasibha
vapuravihi
vayamihapa
vayamihapadavid
vidadhatud
vigatatimi
vikachakac
vikachakam
vikasadama
vikasatima
vikasatisa
vikiradhav
vilikhatis
vilulitaka
vilulitama
vipulapula
virahavidi
vitarayaku
vitatapRth
vrajatimRd
vrajativiS
vyasamimai
vyatiShaja
vyatikarit
xamamayamu
xitipakima
yadapikaTa
yadidamaga
