Ayisakhiku
abhayamabh
abhijamava
abhimatamahAmAm
abhimavaja
abhimavava
abhimukhag
adharamadh
adharamadhareka
adharamamR
agamitagur
ahRtahRday
ahamahamik
ajamibhaga
akRtakaval
akalilatap
akarumamRS
alamabhimu
alasamadhu
alasavalit
alasavilas
amRtajalad
amRtamadhu
amRtamamRt
amRtamamRtamcha
amRtamamRtamchamdras_1
amRtapaTut
amabhilaSh
amalasajav
amatishith
amuditasaT
amumatamiv
amumayagur
amurapimamiHprA
amusarasar
apamayamah
aparajalad
apasarasak
apasaratar
apibhujala
apisadivas
apitaruvam
apivaTatar
arumakiramevahm
arumamayam
asakRdasak
ashithilap
asitavasam
asubhirash
asurahitam
athasaviSh
avadhidiva
avadhidivasaHso
avimayabhu
aviralapat
avishadach
ayamayamas
ayisakhima
ayisakhimi
bhagimimad
bhavatijay
bhavativit
bhavatuvid
bhramatigi
bhramayaja
bhujataruv
chapalahRd
charamapat
chiravirah
dadhatimaj
dalatihRda
dimakaraka
dishidishi
divasaraja
drutataram
gamamamala
hRdayamiSh
hRdibisala
harimachar
idamashish
idamihapad
ihaparichi
ihaparimal
ihasarabha
ihaviracha
iyamavayav
jagatijayi
jhagitijag
jvalatugag
kRtamamuma
kaThimahRd
kaThimahRdayemu
kakubhikak
kakubhikakubhib
kalahakalayAyat
kalayavala
kalitagari
kamaivapur
kamakahari
kamakakala
kamakakalashasv
kamakamikaShasv
kamalamadh
kamalamayamAkar
kamalavada
kapaTapaTu
karaTikara
karabhadayiteyo
karabhakim
karabharab
karakisala
karakisalayamdh
kathamapik
kathamapis
kathayakimidamj
kathayamip
katiShumak
katipayapu
kaviravima
kimasivima
kiratimihi
kumudashab
kurubakaku
kusumashay
kusumashayamepy
lalitagama
mRgashishudRsha
madhukarag
madhuravac
malayamaru
malayashik
malimahuta
maviShamam
mayisakapa
myadhitadi
parabhRtas
pariharakR
parimayavi
patatumabh
pathimipat
pathipathilatAl
pituradhip
praharavir
pramayakupitAmd
prasaradal
prathamama
priyakRtap
rasatitaru
ratikRtiga
ripurivasa
ruchibhira
sabhayacha
sakhisavij
samayashab
sarasapari
sarasibahu
shamayatig
shamayatiy
sphuTatuhR
sukhalavad
suratavira
susitavasa
sutamuhRda
svaphalami
taTamupaga
trimayamaj
uDupariSha
udayatitaD
uditamudit
upakRtavatAshrI
upamatabha
upaparisar
uparikabar
uparimihir
upashamaph
urasimihit
vadamashas
vahatibhuv
vapuramupa
viShayavid
vikasitamu
vikiratimu
vilapatita
virahaviSh
viralavila
viramatagh
viramavira
vitaratigu
vyajamamar
vyathayativRthA
yadiparagu
