amumAyamum
amushocham
apaTaHkapa
ayimAlatis
ayisumdarisampr
ititatvadh
iyatIjagat
iyatIjagatIkiya
kadalIkada
kaluShamka
kamalodara
katichidivasAmi
katisamtil
katisamtilavamg
kupitApima
mavamepira
paripIDita
shashimAch
suchiramku
uDurAjamuk
uditaHsama
vamitAkara
