AdhoramAmA
AgarbhamAb
Amdolamair
AsAditavyo
adyApimAma
adyApimUma
amgemakemA
amtaHpurAm
amyArthama
apyagramIr
artheShval
atyamtakRS
aujjhipriy
eShAmamome
eShyamtiyA
ekAmapAmga
ekohidoShogumasamipA_1
evamjarAha
evamviloky
gambhIramA
hAtAtatAte
kAlakramam
kAmtekatha
kAmtyAdari
kAvyamyadI
kalpadrumaiHkim
kamThevasa
karmejapAm
maiyAyikAm
makvApirAm
rAShTrasya
sArAjahams
samtopisam
samyastabh
seyamRduHk
shAThyemad
tAlIdalamk
tAmabhyaga
trayamtasi
tvadvairim
utiShThava
vRxAgravAsImach
yAkAmimIsA
yasyAstivi
yeShvAvayo
yeshAmtadA
yoditsatij
