value	quote_count	file_key	quote_keys
तैत्तिरीयप्रातिशाख्यम्	1	taittirIyaprAtishAkhyam	padakramav
दक्षस्मृतिः	1	daxasmRtiH	sajIvatiya
दामोदरभट्टः	4	dAmodarabhaTTaH	kurvegarvo, machChatra, shabdavyAk, vedambahvR
देवीभागवतम्	1	devIbhAgavatam	AchArahIma
धनञ्जयः	1	dhananjayaH	ramyamjugu
धनञ्जयः - दशरूपकम्	2	dhananjayaH_-_dasharUpakam	AmamdamiSh, Amamdamisy
धनुर्वेदः	1	dhanurvedaH	brAhmamAya
धर्मकीर्तिः	1	dharmakIrtiH	amamgapali
नारदपुराणम्	1	nAradapurANam	bhaktyAsid
नारायणज-शङ्करः	7		
नारायणो भिषक्	1	nArAyaNo_bhiShak	tamchauram
नित्यानन्दः	1	nityAnandaH	pATIkuTaka
निरुक्तम्	1	niruktam	yadadhItam
नीलकण्ठः - शिवोत्कर्षणमञ्जरी	1	nIlakaNThaH_-_shivotkarShaNamanjarI	archAmItid
नैषदीयचरितम्	1	naiShadIyacharitam	malemabhAy
पञ्चतन्त्रम्	2	panchatantram	aprAptakAlamvac, yasyadharm
पञ्चतन्त्रम् मित्रभेदः	1	panchatantram_mitrabhedaH	ashvaHshas
पण्डितराजजगन्नाथः	1	paNDitarAjajagannAthaH	kAvyeShukomalad
परकालमठाधिपः	1	parakAlamaThAdhipaH	mimdatuvAm
पराशरस्मृतिः	1	parAsharasmRtiH	deshabhamg
पाणिनि	1	pANini	tamvamgImA
पॆजत्ताय-रामकृष्णः	2	pEjattAya-rAmakRShNaH	dhikuryAHs, mApexeshab
पॆजत्ताय-रामकृष्णः - मुक्तकम्	1	pEjattAya-rAmakRShNaH_-_muktakam	dvAramodgh
प्रतिवादिभयङ्कराण्णः - सप्ततिरत्नमालिका	2	prativAdibhayankarANNaH_-_saptatiratnamAlikA	gurauvAdih, sarvatamtr
प्रतिवादिभयङ्कराण्णङ्गराचार्यः	1	prativAdibhayankarANNangarAchAryaH	amabhyasta
प्रबंधचिन्तामणि	1	prabaMdhachintAmaNi	yuktiyuktamvach
बत्रा-नरेशः	1	batrA-nareshaH	dhvamyAlok
बलराम-शुक्लः - मुक्तकम्	27		
बिल्हणः	3	bilhaNaH	bimdudvamd, rAmomAsaum, sarvasvamg
बुद्धः	1	buddhaH	tApAchChed
बृहदारण्योपनिषत्	1	bRhadAraNyopaniShat	kAmamayaev
बोधायनः	1	bodhAyanaH	padbhyAmsa
भक्तिरसामृतसिन्धुः	1	bhaktirasAmRtasindhuH	shrutismRtipurA
भगवदज्जुकम्	4	bhagavadajjukam	amAgatampr, dehorogami, khapavamas, tvAmpAtula
भगवद्गीता	30		
भट्टगोपालः - साहित्यचूडामणिः	1	bhaTTagopAlaH_-_sAhityachUDAmaNiH	jayatiprat
भट्टनारायणः - वेणीसंहारम्	1	bhaTTanArAyaNaH_-_veNIsaMhAram	chatvArova
भर्तृहरिः	5		
भर्तृहरिः - वाक्यपदीयम्	2	bhartRhariH_-_vAkyapadIyam	prajmAvive, vyAghrAdiv
भर्तृहरिः - शृङ्गारशतकम्	1	bhartRhariH_-_shRngArashatakam	vistAritam
भल्लटः	1	bhallaTaH	kasyAmimeS
भवभूतिः	1	bhavabhUtiH	yemAmakech
भवभूतिः - मुक्तकम्	1	bhavabhUtiH_-_muktakam	sAvaShTamb
भविष्यपुराणम्	2	bhaviShyapurANam	mavadedyAv, sarvebrahm
भागवत-पुराणम्	1	bhAgavata-purANam	chatvArims
भामहः - काव्यालङ्कारः	1	bhAmahaH_-_kAvyAlankAraH	svAdukAvya
भामिनीविलासः	1	bhAminIvilAsaH	davadahama
भारविः	1	bhAraviH	amurapyupa
भीमः	6		
भोजः	4	bhojaH	durbodhamy, laxmImtamo, mAmdhAtAsamahIp, uchChairga
भोजः - शृङ्गारप्रकाशः	1	bhojaH_-_shRngAraprakAshaH	pipipriyas
भोजप्रबन्धः	2	bhojaprabandhaH	ambhodhiHs, prAyodhama
मङ्खः	1	mankhaH	imdimdirai
मधुराविजयम्	1	madhurAvijayam	gatadIptig
मध्वः	1	madhvaH	dAmatIrtha
