AdityAmAma
AyudhAmAma
amAmitvama
amamtashch
ashvatthaH
athachetva
athavAbahu
axarAmAmakArosm
bRhatsAmat
damDodamay
dyUtamChal
ekAxarampa
hamtatekat
krodhAdbha
mRtyuHsarv
maharShImA
maimamChim
pavamaHpav
prahlAdash
purodhasAm
rAgadveSha
rudrAmAmsh
sargAmAmAd
uchaiHshra
vAsAmsijIr
vRShmImAmv
vedAmAmsAm
yadyadvibh
