ADhyastyaj
AchArachUr
AgachCheti
AkarmAmtam
AmglabhASh
Apadikimar
Aphalodaya
AyurgatAga
achalastiS
adharmepat
adhikasita
adyApyudya
adyaivasha
akrUrasyam
akrUroyama
alamkArAdU
alamkArAdUramsa
amamgIkRtakamda
amapatyeSh
amgIkurumi
amuyAtikAm
amyatrodgh
apashyamiv
arthAmAmga
asarojabha
asaudhvami
asaushRmut
ashamambhi
asitaruchi
asmAbhirbh
astamgatep
avyAdviShm
ayAchitapr
bADhamkavI
baddhAsrak
bahavastey
barhastvac
bhUShamIya
bhadremura
bhairavAya
bhavamtyak
bhojadhama
bhujaviTap
brahmAmDasvedab
buddhasyam
chatvAromb
chiramadhu
dUramudasy
dashopamiS
dayitAmibi
dehArdhavi
dehachChaT
dhArAshara
dhAtastuSh
dhigastvas
divisAmdhy
draShTavya
draShTavyo
duHsahatAp
eShAkApira
gRmamtumum
gUhitAmyam
gajAmamasy
gamDodeshA
girishasya
hamsAyamAm
jAyatevidu
jIyAdbhaga
jIyAdravis
jIyAdvaTat
jaDAjaData
jagadamDak
jayatihare
jayatijaga
jmAtAmabho
jyautiSham
kAlakishor
kAlaxayAda
kAvyAmimah
kAvyasarol
kalpadrumapratI
karmabhATa
kasmaicham
kavImdraiH
kavirAdhum
kavisAmAmy
kavitAkApi
kavitAmAma
kelikumjeS
kevAmagUhi
kharveyamp
kimatramad
kimayAsRSh
kimimdyaHk
kimtayAdam
kimvAshiSh
kosaumAtar
koshomajAy
koshomayas
kvachitpat
lagmamkavi
laxmIshcha
likhamtuka
mAdaroyatr
mAramasvam
mAstichorA
mAtAkvatek
mAtarbrUhi
madamAyama
madamasyam
madhyemRdh
makIrtirmo
mamAturmAm
mamoguhAya
mamostugur
matpAmAviS
maurkhyama
mavImakava
mavImakavi
mavamItama
mavarmyava
mayibhagav
midrAmadIk
mijamAshay
mipatatiki
mirvRtyaiv
miyamtraya
muShTirvAs
mudhaivade
mukharayat
murArimura
muralitvay
pAThampATh
pAtrApAtravivek
pUrvAdrist
paThatirah
pashupAlav
prAptamayA
praspamdam
proktamayA
promChatid
pumDrexuda
rathyAyAms
sAmashcham
sItAmiShkA
sadambhash
sahRdayaja
sajayatimahiSho
samAdhaupr
samRddhaku
samahAmaTo
samarpitAy
samjAtodvi
samyuktami
sapAtuvome
sarvasyamu
sarvatrasarvadA
satyamvivR
savyArdhav
shIrmoDAma
shaktimvyA
shakumtalA
shashvajay
shlokAdeSh
shrutervAc
shuShyatik
shyAmAsupr
smAmavairI
sphuratkuv
stUyatestU
sthitepisA
stuveshiva
suptovastr
svemasvame
tApichChag
tIxmatIxmA
tacharamAm
tapasyamta
taramgasta
tathAgADha
tatpriyama
tatsarvamy
temAmasamt
tevedAstur
tevemudhva
tiShThatig
trijagachC
tuShTosmit
tvayAmadam
tyaktamCha
ubhayatrAp
uchAvachap
uktasyasha
umIlametra
upamAkAlidAsasy
vRtambhamj
vaidyohare
vardhatAmv
vemustvada
vidyAlayas
vimAkRtAma
vyAlolavAs
xomItalesh
yAsharAmda
yasyadhUli
yasyakopot
yasyavAcha
yathAyathAkamsa
yatkIrtyAp
yebrAhmaxA
yoShidvasa
yuShmatkRS
yuvatvemam
