aShTaugumA
agmihotramukhAv
chirAbhipa
dhAramAddh
dhamasyaya
ekamvaisev
gumairvRdd
majetrayId
mirvamovad
sahasrasha
sukhamApat
sumamtritesuvik
xipramvijA
yasyakRtya
yatrasUkta
